"Technology","Age","Value","Year","Mode"
"ICEM-G",14,8162,2016,"Motorcycle"
"EM",14,0,2016,"Motorcycle"
"ICEM-G",15,3987,2016,"Motorcycle"
"EM",15,0,2016,"Motorcycle"
"ICEM-G",16,3712,2016,"Motorcycle"
"EM",16,0,2016,"Motorcycle"
"ICEM-G",17,2803,2016,"Motorcycle"
"EM",17,0,2016,"Motorcycle"
"ICEM-G",18,2345,2016,"Motorcycle"
"EM",18,0,2016,"Motorcycle"
"ICEM-G",19,1590,2016,"Motorcycle"
"EM",19,0,2016,"Motorcycle"
"ICEM-G",20,1118,2016,"Motorcycle"
"EM",20,0,2016,"Motorcycle"
"ICEM-G",0,9004,2017,"Motorcycle"
"EM",0,0,2017,"Motorcycle"
"ICEM-G",1,12580,2017,"Motorcycle"
"EM",1,0,2017,"Motorcycle"
"ICEM-G",2,8422,2017,"Motorcycle"
"EM",2,0,2017,"Motorcycle"
"ICEM-G",3,8473,2017,"Motorcycle"
"EM",3,0,2017,"Motorcycle"
"ICEM-G",4,10815,2017,"Motorcycle"
"EM",4,0,2017,"Motorcycle"
"ICEM-G",5,7776,2017,"Motorcycle"
"EM",5,0,2017,"Motorcycle"
"ICEM-G",6,7081,2017,"Motorcycle"
"EM",6,1,2017,"Motorcycle"
"ICEM-G",7,7727,2017,"Motorcycle"
"EM",7,1,2017,"Motorcycle"
"ICEM-G",8,7846,2017,"Motorcycle"
"EM",8,1,2017,"Motorcycle"
"ICEM-G",9,8578,2017,"Motorcycle"
"EM",9,0,2017,"Motorcycle"
"ICEM-G",10,5208,2017,"Motorcycle"
"EM",10,0,2017,"Motorcycle"
"ICEM-G",11,11012,2017,"Motorcycle"
"EM",11,0,2017,"Motorcycle"
"ICEM-G",12,4701,2017,"Motorcycle"
"EM",12,0,2017,"Motorcycle"
"ICEM-G",13,5617,2017,"Motorcycle"
"EM",13,0,2017,"Motorcycle"
"ICEM-G",14,7461,2017,"Motorcycle"
"EM",14,0,2017,"Motorcycle"
"ICEM-G",15,5283,2017,"Motorcycle"
"EM",15,0,2017,"Motorcycle"
"ICEM-G",16,3919,2017,"Motorcycle"
"EM",16,0,2017,"Motorcycle"
