"Technology","Age","Value","Year"
"PHEV",10,0,2010
"BEV",10,0,2010
"ICEV-G",11,10,2010
"ICEV-D",11,0,2010
"HEV-G",11,0,2010
"HEV-D",11,0,2010
"CNG",11,0,2010
"PHEV",11,0,2010
"BEV",11,0,2010
"ICEV-G",12,12,2010
"ICEV-D",12,0,2010
"HEV-G",12,0,2010
"HEV-D",12,0,2010
"CNG",12,0,2010
"PHEV",12,0,2010
"BEV",12,0,2010
"ICEV-G",13,10,2010
"ICEV-D",13,0,2010
"HEV-G",13,0,2010
"HEV-D",13,0,2010
"CNG",13,0,2010
"PHEV",13,0,2010
"BEV",13,0,2010
"ICEV-G",14,22,2010
"ICEV-D",14,0,2010
"HEV-G",14,0,2010
"HEV-D",14,0,2010
"CNG",14,0,2010
"PHEV",14,0,2010
"BEV",14,0,2010
"ICEV-G",15,11,2010
"ICEV-D",15,0,2010
"HEV-G",15,0,2010
"HEV-D",15,0,2010
"CNG",15,0,2010
"PHEV",15,0,2010
"BEV",15,0,2010
"ICEV-G",16,10,2010
"ICEV-D",16,0,2010
"HEV-G",16,0,2010
"HEV-D",16,0,2010
"CNG",16,0,2010
"PHEV",16,0,2010
"BEV",16,0,2010
"ICEV-G",17,39,2010
"ICEV-D",17,0,2010
"HEV-G",17,0,2010
"HEV-D",17,0,2010
"CNG",17,0,2010
"PHEV",17,0,2010
"BEV",17,0,2010
"ICEV-G",18,101,2010
"ICEV-D",18,0,2010
"HEV-G",18,0,2010
"HEV-D",18,0,2010
"CNG",18,0,2010
"PHEV",18,0,2010
"BEV",18,0,2010
"ICEV-G",19,62,2010
"ICEV-D",19,0,2010
"HEV-G",19,0,2010
"HEV-D",19,0,2010
"CNG",19,0,2010
"PHEV",19,0,2010
"BEV",19,0,2010
"ICEV-G",20,10,2010
"ICEV-D",20,0,2010
"HEV-G",20,0,2010
"HEV-D",20,0,2010
"CNG",20,0,2010
"PHEV",20,0,2010
"BEV",20,0,2010
"ICEV-G",0,935,2011
"ICEV-D",0,5,2011
"HEV-G",0,13,2011
"HEV-D",0,0,2011
"CNG",0,0,2011
"PHEV",0,0,2011
"BEV",0,0,2011
"ICEV-G",1,1033,2011
"ICEV-D",1,2,2011
"HEV-G",1,16,2011
"HEV-D",1,0,2011
"CNG",1,2,2011
"PHEV",1,0,2011
"BEV",1,0,2011
"ICEV-G",2,1176,2011
"ICEV-D",2,1,2011
"HEV-G",2,14,2011
"HEV-D",2,0,2011
"CNG",2,4,2011
"PHEV",2,0,2011
"BEV",2,0,2011
"ICEV-G",3,2458,2011
"ICEV-D",3,0,2011
"HEV-G",3,22,2011
"HEV-D",3,0,2011
"CNG",3,50,2011
"PHEV",3,0,2011
"BEV",3,0,2011
"ICEV-G",4,3036,2011
"ICEV-D",4,0,2011
"HEV-G",4,16,2011
"HEV-D",4,0,2011
"CNG",4,1,2011
"PHEV",4,0,2011
"BEV",4,0,2011
"ICEV-G",5,2299,2011
"ICEV-D",5,0,2011
"HEV-G",5,1,2011
"HEV-D",5,0,2011
"CNG",5,0,2011
"PHEV",5,0,2011
"BEV",5,0,2011
"ICEV-G",6,1710,2011
"ICEV-D",6,0,2011
"HEV-G",6,5,2011
"HEV-D",6,0,2011
"CNG",6,4,2011
"PHEV",6,0,2011
"BEV",6,0,2011
"ICEV-G",7,667,2011
"ICEV-D",7,0,2011
"HEV-G",7,0,2011
"HEV-D",7,0,2011
"CNG",7,0,2011
"PHEV",7,0,2011
"BEV",7,0,2011
"ICEV-G",8,229,2011
"ICEV-D",8,0,2011
"HEV-G",8,0,2011
"HEV-D",8,0,2011
"CNG",8,0,2011
"PHEV",8,0,2011
"BEV",8,0,2011
"ICEV-G",9,66,2011
"ICEV-D",9,0,2011
"HEV-G",9,0,2011
"HEV-D",9,0,2011
"CNG",9,0,2011
"PHEV",9,0,2011
"BEV",9,0,2011
"ICEV-G",10,11,2011
"ICEV-D",10,0,2011
"HEV-G",10,0,2011
"HEV-D",10,0,2011
"CNG",10,0,2011
"PHEV",10,0,2011
"BEV",10,0,2011
"ICEV-G",11,11,2011
"ICEV-D",11,0,2011
"HEV-G",11,0,2011
"HEV-D",11,0,2011
"CNG",11,0,2011
"PHEV",11,0,2011
"BEV",11,0,2011
"ICEV-G",12,10,2011
"ICEV-D",12,0,2011
"HEV-G",12,0,2011
"HEV-D",12,0,2011
"CNG",12,0,2011
"PHEV",12,0,2011
"BEV",12,0,2011
"ICEV-G",13,12,2011
"ICEV-D",13,0,2011
"HEV-G",13,0,2011
"HEV-D",13,0,2011
"CNG",13,0,2011
"PHEV",13,0,2011
"BEV",13,0,2011
"ICEV-G",14,10,2011
"ICEV-D",14,0,2011
"HEV-G",14,0,2011
"HEV-D",14,0,2011
"CNG",14,0,2011
"PHEV",14,0,2011
"BEV",14,0,2011
"ICEV-G",15,21,2011
"ICEV-D",15,0,2011
"HEV-G",15,0,2011
"HEV-D",15,0,2011
"CNG",15,0,2011
"PHEV",15,0,2011
"BEV",15,0,2011
"ICEV-G",16,11,2011
"ICEV-D",16,0,2011
"HEV-G",16,0,2011
"HEV-D",16,0,2011
"CNG",16,0,2011
"PHEV",16,0,2011
"BEV",16,0,2011
"ICEV-G",17,10,2011
"ICEV-D",17,0,2011
"HEV-G",17,0,2011
"HEV-D",17,0,2011
"CNG",17,0,2011
"PHEV",17,0,2011
"BEV",17,0,2011
"ICEV-G",18,21,2011
"ICEV-D",18,0,2011
"HEV-G",18,0,2011
"HEV-D",18,0,2011
"CNG",18,0,2011
"PHEV",18,0,2011
"BEV",18,0,2011
"ICEV-G",19,23,2011
"ICEV-D",19,0,2011
"HEV-G",19,0,2011
"HEV-D",19,0,2011
"CNG",19,0,2011
"PHEV",19,0,2011
"BEV",19,0,2011
